USERNAME,PASSWORD,EMPLOYEE_ID,LOGIN_TYPE
Rakesh36,897rakm,E001,employee
Rameez35,Ram5695,E002,employee
Praveen564,pari002,E003,employee
Hukkash365,Hukkash255,E004,employee
Rakshith25,mypass254,E005,employee
Surabhi55,sura5487,E006,employee
Latha98,latha658,E007,employee
Kalpana98,kalpu54,E008,employee
Aboobakkar23,abu3654,E009,employee
Sourabh3,sour1936,E010,employee
Ramesh89,ramesh123,E011,employee
karan20,karans8970,E012,employee
Ralph25,ralph2002,E013,employee
Anjali35,anjaliii23,E014,employee
Suresh55,rai5645,E015,employee
Razzak,razzputtur12,E016,employee
Raveendra36,ravee365,E017,employee
Shanaya99,shanaya123,E018,employee
Arjun12,reddy5698,E019,employee
Apoorva48,apoo123,E020,employee
